codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_dia,ocorrencia_horario,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,aeronave_matricula,aeronave_equipamento,aeronave_fabricante,aeronave_modelo,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_peso_maximo_decolagem,aeronave_quantidade_assentos,aeronave_ano_fabricacao,aeronave_pais_registro,aeronave_categoria_registro,aeronave_segmento_aviacao,aeronave_origem_voo,aeronave_destino_voo,aeronave_fase_voo,aeronave_tipo_operacao,aeronave_nivel_dano,quantidade_fatalidades,quantidade_fatores_contribuintes,dia_extracao,ano,latitude,longitude
201208258648892,ACIDENTE,PERDA DE CONTROLE EM VOO,2012-08-25,11:30:00,AGUA CLARA,MS,BRASIL,****,PTOKZ,AVIÃO,CESSNA AIRCRAFT,210N,PISTÃO,1.0,1724,6.0,1979.0,BRASIL,TPP,PARTICULAR,SSTL,SJUQ,CRUZEIRO,VOO PRIVADO,DESTRUÍDA,3.0,3,2018-05-06,2012,-20.44,-52.87
201111275319058,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2011-11-27,10:10:00,AGUA CLARA,MS,BRASIL,****,PTUCU,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1987.0,BRASIL,SAE-AG,AGRÍCOLA,SSZG,SSZG,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,2,2018-05-06,2011,-20.44,-52.87
201105014916768,ACIDENTE,PERDA DE CONTROLE NO SOLO,2011-05-01,11:45:00,AGUA CLARA,MS,BRASIL,****,PTRYD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,PISTÃO,1.0,1315,4.0,1985.0,BRASIL,TPP,PARTICULAR,****,****,CORRIDA APÓS POUSO,VOO PRIVADO,SUBSTANCIAL,,4,2018-05-06,2011,-20.44,-52.87
201512089621390,ACIDENTE,FALHA DO MOTOR EM VOO,2015-12-08,12:30:00,AGUAI,SP,BRASIL,****,PTVVS,AVIÃO,EMBRAER,EMB-202A,PISTÃO,1.0,1800,1.0,2012.0,BRASIL,SAE-AG,AGRÍCOLA,****,****,DECOLAGEM,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,0,2018-05-06,2015,-22.05,-46.97
201309012098180,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,2013-09-02,02:54:00,ÁGUAS INTERNACIONAIS,***,BRASIL,****,PTMVL,AVIÃO,AIRBUS INDUSTRIE,A330-203,JATO,2.0,233000,242.0,2005.0,BRASIL,TPR,REGULAR,LEMD,SBGR,CRUZEIRO,VOO REGULAR,LEVE,,0,2018-05-06,2013,-9.42,-30.89
200803063018556,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,2008-03-06,07:55:00,ÁGUAS INTERNACIONAIS,***,BRASIL,****,PTMVA,AVIÃO,AIRBUS INDUSTRIE,A330-223,JATO,2.0,230000,243.0,1998.0,BRASIL,TPR,REGULAR,****,****,CRUZEIRO,VOO REGULAR,NENHUM,,0,2018-05-06,2008,-9.42,-30.89
201803091904444,ACIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,2018-03-06,21:30:00,AGUDO,RS,BRASIL,****,PTBIT,AVIÃO,EMBRAER,EMB-202,PISTÃO,1.0,1800,,,BRASIL,SAE-AG,AGRÍCOLA,****,****,MANOBRA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,0,2018-05-06,2018,-29.64,-53.24
201111128418971,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,2011-11-12,21:30:00,AIMORES,MG,BRASIL,****,PUDVA,ULTRALEVE,JOAO HENRIQUE SIGNORELLI DRAEGER,VENTURA,PISTÃO,1.0,550,2.0,2010.0,BRASIL,PET,EXPERIMENTAL,****,****,DECOLAGEM,VOO EXPERIMENTAL,LEVE,,0,2018-05-06,2011,-19.49,-41.06
201012033705241,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,2010-12-03,23:25:00,ALAGOINHAS,BA,BRASIL,****,PTIPO,AVIÃO,PIPER AIRCRAFT,PA-31,PISTÃO,2.0,2948,8.0,1973.0,BRASIL,TPX,TÁXI AÉREO,****,****,CRUZEIRO,TÁXI AÉREO,NENHUM,,0,2018-05-06,2010,-12.13,-38.41
201502161306401,INCIDENTE,FALHA DO MOTOR EM VOO,2015-02-16,20:38:00,ALCANTARA,MA,BRASIL,SNCW,PTZES,AVIÃO,RUBEM ROCHA SANTANA,RV-10,PISTÃO,1.0,1224,4.0,2010.0,BRASIL,PET,EXPERIMENTAL,SNOZ,SNYE,SUBIDA,VOO PRIVADO,NENHUM,,0,2018-05-06,2015,-2.4,-44.41
201205251709274,ACIDENTE,FALHA DO MOTOR EM VOO,2012-05-25,20:45:00,ALCANTARA,MA,BRASIL,****,PTRZQ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,1.0,1157,4.0,0.0,BRASIL,TPP,PARTICULAR,****,****,SUBIDA,VOO PRIVADO,SUBSTANCIAL,,0,2018-05-06,2012,-2.4,-44.41
201301297237475,ACIDENTE,PERDA DE CONTROLE EM VOO,2013-01-29,19:20:00,ALEGRETE,RS,BRASIL,****,PTUIC,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800,1.0,1994.0,BRASIL,SAE-AG,AGRÍCOLA,SSOR,****,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,DESTRUÍDA,1.0,5,2018-05-06,2013,-29.78,-55.79
201303121097329,ACIDENTE,PERDA DE CONTROLE NO SOLO,2013-03-12,18:40:00,ALEGRETE,RS,BRASIL,****,PPSSS,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PISTÃO,2.0,2155,6.0,2006.0,BRASIL,TPP,PARTICULAR,SBPA,SSLT,POUSO,VOO PRIVADO,SUBSTANCIAL,,1,2018-05-06,2013,-29.78,-55.79
201412231460105,ACIDENTE,PERDA DE CONTROLE NO SOLO,2014-12-23,20:00:00,ALEGRETE,RS,BRASIL,****,PTUCN,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1987.0,BRASIL,SAE-AG,AGRÍCOLA,****,****,CORRIDA APÓS POUSO,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,3,2018-05-06,2014,-29.78,-55.79
201211086404523,ACIDENTE,FALHA DO MOTOR EM VOO,2012-11-08,11:00:00,ALEGRETE,RS,BRASIL,****,PTUAD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1985.0,BRASIL,SAE,ESPECIALIZADA,****,****,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,1,2018-05-06,2012,-29.78,-55.79
201310053574855,ACIDENTE,PERDA DE CONTROLE EM VOO,2013-10-05,21:00:00,ALEGRETE,RS,BRASIL,SSLT,PUSNX,ULTRALEVE,SONEX LTDA,SONEX,PISTÃO,1.0,300,2.0,2002.0,BRASIL,PET,EXPERIMENTAL,****,****,DECOLAGEM,VOO EXPERIMENTAL,SUBSTANCIAL,1.0,0,2018-05-06,2013,-29.78,-55.79
201412188692894,ACIDENTE,PERDA DE CONTROLE EM VOO,2014-12-18,19:00:00,ALEGRETE,RS,BRASIL,****,PTUAD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1985.0,BRASIL,SAE-AG,AGRÍCOLA,****,****,RETA FINAL,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,4,2018-05-06,2014,-29.78,-55.79
201703161448225,ACIDENTE,PANE SECA,2017-03-13,13:20:00,ALEGRETE,RS,BRASIL,SSLT,PTAXY,AVIÃO,EMBRAER,EMB-202,PISTÃO,1.0,1800,,,BRASIL,SAE-AG,AGRÍCOLA,SSLT,SSLT,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,0,2018-05-06,2017,-29.78,-55.79
201012299461452,ACIDENTE,PERDA DE CONTROLE EM VOO,2010-12-29,10:35:00,ALEGRETE,RS,BRASIL,****,PTUHF,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800,1.0,1992.0,BRASIL,SAE-AG,AGRÍCOLA,****,****,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,6,2018-05-06,2010,-29.78,-55.79
201402063809812,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,2014-02-06,13:00:00,ALEGRETE,RS,BRASIL,****,PTGTB,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1979.0,BRASIL,SAE-AG,AGRÍCOLA,****,****,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,0,2018-05-06,2014,-29.78,-55.79
201610131038082,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2016-10-11,18:29:00,ALEGRETE,RS,BRASIL,****,PTAQS,AVIÃO,EMBRAER,EMB-202,PISTÃO,1.0,1800,1.0,2014.0,BRASIL,TPP,PARTICULAR,****,****,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,1,2018-05-06,2016,-29.78,-55.79
201211071670763,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,2012-11-07,16:15:00,ALFENAS,MG,BRASIL,****,PRLTT,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PISTÃO,2.0,2155,6.0,2010.0,BRASIL,TPP,PARTICULAR,SNPY,SNFE,TÁXI,VOO PRIVADO,SUBSTANCIAL,,0,2018-05-06,2012,-21.42,-45.94
201107196751877,ACIDENTE,PERDA DE CONTROLE NO SOLO,2011-07-19,18:45:00,ALFENAS,MG,BRASIL,****,PUILT,ULTRALEVE,***,PELICAN 500 BR,PISTÃO,1.0,600,2.0,2004.0,BRASIL,PET,EXPERIMENTAL,****,****,DECOLAGEM,VOO EXPERIMENTAL,SUBSTANCIAL,,0,2018-05-06,2011,-21.42,-45.94
201306082466305,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,2013-06-08,21:11:00,ALFREDO CHAVES,ES,BRASIL,****,PTTMG,AVIÃO,AIRBUS INDUSTRIE,A319-132,JATO,2.0,75500,154.0,2011.0,BRASIL,TPR,REGULAR,****,****,DESCIDA,VOO REGULAR,NENHUM,,0,2018-05-06,2013,-20.63,-40.75
201211215775205,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2012-11-21,12:00:00,ALIANCA DO TOCANTINS,TO,BRASIL,****,PTOSN,AVIÃO,BEECH AIRCRAFT,C90A,TURBOÉLICE,2.0,4581,8.0,1990.0,BRASIL,TPP,PARTICULAR,****,****,ARREMETIDA NO AR,VOO PRIVADO,LEVE,,0,2018-05-06,2012,-11.3,-48.93
201303126475835,ACIDENTE,PERDA DE CONTROLE EM VOO,2013-03-12,12:30:00,ALMEIRIM,PA,BRASIL,SBMD,PTVAQ,AVIÃO,EMBRAER,EMB-820C CARAJA,TURBOÉLICE,2.0,3629,10.0,1986.0,BRASIL,TPX,TÁXI AÉREO,SBBE,SBMD,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,SUBSTANCIAL,10.0,13,2018-05-06,2013,-1.52,-52.58
201311109706615,INCIDENTE GRAVE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2013-11-10,12:30:00,ALMEIRIM,PA,BRASIL,****,PRHBE,HELICÓPTERO,EUROCOPTER FRANCE,AS 355 N,TURBOEIXO,2.0,2600,6.0,1993.0,BRASIL,TPX,TÁXI AÉREO,****,****,PAIRADO,TÁXI AÉREO,SUBSTANCIAL,,3,2018-05-06,2013,-1.52,-52.58
200911123689365,INCIDENTE GRAVE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,2009-11-12,17:00:00,ALMENARA,MG,BRASIL,SNAR,PTBKI,AVIÃO,PIPER AIRCRAFT,PA-30,PISTÃO,2.0,1633,6.0,1969.0,BRASIL,PRI,INSTRUÇÃO,SBBH,SBSV,MANOBRA,VOO DE INSTRUÇÃO,NENHUM,,0,2018-05-06,2009,-16.18,-40.69
201211061877321,ACIDENTE,INDETERMINADO,2012-11-06,21:30:00,ALMIRANTE TAMANDARE,PR,BRASIL,****,PTMFW,AVIÃO,PIPER AIRCRAFT,PA-31T2,TURBOÉLICE,2.0,4297,7.0,1983.0,BRASIL,TPX,TÁXI AÉREO,SBDO,SBBI,APROXIMAÇÃO FINAL,TÁXI AÉREO,DESTRUÍDA,4.0,13,2018-05-06,2012,-25.32,-49.31
201008268219583,INCIDENTE,POUSO BRUSCO,2010-08-26,19:00:00,ALTA FLORESTA,MT,BRASIL,SBAT,N4161D,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PISTÃO,2.0,2155,6.0,1999.0,BRASIL,EXT,***,****,****,POUSO,***,LEVE,,0,2018-05-06,2010,-9.87,-56.08
201706150159445,INCIDENTE,VAZAMENTO DE OUTROS FLUIDOS,2017-06-10,20:05:00,ALTA FLORESTA,MT,BRASIL,SBAT,PRMDL,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PISTÃO,2.0,2155,6.0,2002.0,BRASIL,TPP,PARTICULAR,SBAT,SBIH,CRUZEIRO,VOO PRIVADO,NENHUM,,0,2018-05-06,2017,-9.87,-56.08
201509288435475,ACIDENTE,POUSO LONGO,2015-09-28,14:40:00,ALTA FLORESTA,MT,BRASIL,****,PTGRT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1977.0,BRASIL,SAE-AG,AGRÍCOLA,****,****,ARREMETIDA NO SOLO,OPERAÇÃO AGRÍCOLA,SUBSTANCIAL,,0,2018-05-06,2015,-9.87,-56.08
201306249513941,INCIDENTE GRAVE,COM TREM DE POUSO,2013-06-24,16:30:00,ALTA FLORESTA,MT,BRASIL,SWEN,PRBAP,AVIÃO,CESSNA AIRCRAFT,210N,PISTÃO,1.0,1724,6.0,1979.0,BRASIL,TPX,TÁXI AÉREO,SWNF,SWEN,POUSO,TÁXI AÉREO,SUBSTANCIAL,,0,2018-05-06,2013,-9.87,-56.08
201108108913400,INCIDENTE,OUTROS,2011-08-10,16:54:00,ALTA FLORESTA,MT,BRASIL,****,PPPTO,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,TURBOÉLICE,2.0,22500,73.0,2008.0,BRASIL,TPR,REGULAR,****,****,POUSO,VOO REGULAR,NENHUM,,0,2018-05-06,2011,-9.87,-56.08
201703162202388,INCIDENTE,ESTOURO DE PNEU,2017-03-15,18:42:00,ALTAMIRA,PA,BRASIL,SBHT,PRMPN,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-320,TURBOÉLICE,2.0,16900,52.0,1986.0,BRASIL,TPR,REGULAR,SBBE,SBHT,CORRIDA APÓS POUSO,VOO REGULAR,LEVE,,0,2018-05-06,2017,-3.2,-52.2
200812089521613,ACIDENTE,POUSO EM LOCAL NÃO PREVISTO,2008-12-08,17:50:00,ALTAMIRA,PA,BRASIL,****,PTLXB,AVIÃO,CESSNA AIRCRAFT,T210N,PISTÃO,1.0,1814,6.0,1979.0,BRASIL,TPP,PARTICULAR,SNEB,SNWR,ARREMETIDA NO SOLO,VOO PRIVADO,SUBSTANCIAL,,3,2018-05-06,2008,-3.2,-52.2
200901303159724,INCIDENTE,FUMAÇA NA CABINE,2009-01-30,20:00:00,ALTAMIRA,PA,BRASIL,****,PRTTI,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212,TURBOÉLICE,2.0,22000,71.0,1995.0,BRASIL,TPR,REGULAR,****,****,SUBIDA,VOO REGULAR,NENHUM,,0,2018-05-06,2009,-3.2,-52.2
201710252238146,ACIDENTE,INDETERMINADO,2017-10-24,12:30:00,ALTAMIRA,PA,BRASIL,****,PRRBA,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,1.0,1907,1.0,1977.0,BRASIL,SAE-AG,AGRÍCOLA,****,****,MANOBRA,OPERAÇÃO AGRÍCOLA,DESTRUÍDA,1.0,0,2018-05-06,2017,-3.2,-52.2
200802214821514,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,2008-02-21,00:00:00,ALTAMIRA,PA,BRASIL,SJJJ,PTWCI,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,1.0,1497,1.0,1978.0,BRASIL,SAE-AG,AGRÍCOLA,****,****,RETA FINAL,OPERAÇÃO AGRÍCOLA,***,,0,2018-05-06,2008,-3.2,-52.2
200812169760955,INCIDENTE,FOGO NO SOLO,2008-12-16,09:13:00,ALTAMIRA,PA,BRASIL,****,PTIOH,AVIÃO,CESSNA AIRCRAFT,310Q,PISTÃO,2.0,2404,6.0,1992.0,BRASIL,TPX,TÁXI AÉREO,****,****,TÁXI,TÁXI AÉREO,LEVE,,0,2018-05-06,2008,-3.2,-52.2
200802218726276,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,2008-02-21,19:17:00,ALTAMIRA,PA,BRASIL,****,PTKIJ,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,1.0,1724,6.0,1974.0,BRASIL,TPX,TÁXI AÉREO,****,****,POUSO,TÁXI AÉREO,LEVE,,0,2018-05-06,2008,-3.2,-52.2
201102214231103,ACIDENTE,COM TREM DE POUSO,2011-02-21,21:45:00,ALTAMIRA,PA,BRASIL,SBHT,PRTTI,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212,TURBOÉLICE,2.0,22000,71.0,1995.0,BRASIL,TPR,REGULAR,SBBE,SBHT,CORRIDA APÓS POUSO,VOO REGULAR,SUBSTANCIAL,,3,2018-05-06,2011,-3.2,-52.2
201208045527625,INCIDENTE GRAVE,OUTROS,2012-08-04,10:10:00,ALTAMIRA,PA,BRASIL,****,PTVQW,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155,6.0,1993.0,BRASIL,TPP,PARTICULAR,****,****,DECOLAGEM,VOO PRIVADO,SUBSTANCIAL,,0,2018-05-06,2012,-3.2,-52.2
201308054660907,INCIDENTE,ESTOURO DE PNEU,2013-08-05,13:56:00,ALTAMIRA,PA,BRASIL,SBHT,PTVKO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,1.0,1633,7.0,1989.0,BRASIL,TPP,PARTICULAR,****,****,TÁXI,VOO PRIVADO,NENHUM,,0,2018-05-06,2013,-3.2,-52.2
201405093246698,INCIDENTE,TRÁFEGO AÉREO,2014-05-09,12:49:00,ALTAMIRA,PA,BRASIL,SBHT,PRXZB,AVIÃO,CESSNA AIRCRAFT,310R,PISTÃO,2.0,2576,6.0,1975.0,BRASIL,TPX,TÁXI AÉREO,****,****,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,NENHUM,,0,2018-05-06,2014,-3.2,-52.2
201312104344521,INCIDENTE,ESTOURO DE PNEU,2013-12-10,21:40:00,ALTAMIRA,PA,BRASIL,SBHT,PTRVQ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155,7.0,1985.0,BRASIL,TPX,TÁXI AÉREO,****,****,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,,0,2018-05-06,2013,-3.2,-52.2
201009213278405,ACIDENTE,PERDA DE CONTROLE EM VOO,2010-09-21,17:10:00,ALTO ALEGRE,RR,BRASIL,****,PTHLD,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,1.0,1950,6.0,1980.0,BRASIL,TPX,TÁXI AÉREO,****,****,POUSO,TÁXI AÉREO,SUBSTANCIAL,,7,2018-05-06,2010,2.89,-61.49
201104061447671,ACIDENTE,PERDA DE CONTROLE EM VOO,2011-04-06,20:25:00,ALTO ALEGRE,RR,BRASIL,****,PTHNA,HELICÓPTERO,HELIBRAS,AS 355 F2,TURBOEIXO,2.0,2540,6.0,1988.0,BRASIL,TPX,TÁXI AÉREO,SWUQ,SBBV,DESCIDA,TÁXI AÉREO,DESTRUÍDA,3.0,4,2018-05-06,2011,2.89,-61.49
201006099196125,ACIDENTE,INDETERMINADO,2010-06-09,13:00:00,ALTO ALEGRE,RR,BRASIL,****,PTBIN,AVIÃO,CESSNA AIRCRAFT,182C,PISTÃO,1.0,1202,4.0,0.0,BRASIL,TPP,PARTICULAR,****,****,INDETERMINADA,VOO PRIVADO,DESTRUÍDA,1.0,0,2018-05-06,2010,2.89,-61.49
200811167138358,ACIDENTE,FALHA DO MOTOR EM VOO,2008-11-16,12:25:00,ALTO ALEGRE,RR,BRASIL,****,PTRVS,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,1.0,1633,7.0,1986.0,BRASIL,TPX,TÁXI AÉREO,SBBV,SWUQ,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,,2,2018-05-06,2008,2.89,-61.49
